red index:27,count:227
red index:17,count:225
red index:15,count:209
red index:28,count:200
red index:13,count:200
red index:6,count:197
red index:20,count:195
red index:23,count:192
red index:22,count:191
red index:8,count:189
red index:24,count:188
red index:1,count:186
red index:25,count:184
red index:12,count:183
red index:7,count:182
red index:11,count:181
red index:19,count:180
red index:3,count:179
red index:26,count:179
red index:14,count:178
red index:18,count:176
red index:30,count:175
red index:21,count:174
red index:16,count:172
red index:5,count:171
red index:10,count:170
red index:29,count:169
red index:32,count:166
red index:4,count:163
red index:2,count:161
red index:9,count:155
red index:33,count:154
red index:31,count:149
blue index:15,count:84
blue index:9,count:73
blue index:10,count:67
blue index:5,count:67
blue index:14,count:66
blue index:2,count:66
blue index:7,count:65
blue index:4,count:61
blue index:16,count:60
blue index:6,count:58
blue index:12,count:57
blue index:11,count:57
blue index:8,count:56
blue index:13,count:56
blue index:3,count:55
blue index:1,count:52
